FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,TOR_estimatedOffensiveRating,TOR_offensiveRating,TOR_estimatedDefensiveRating,TOR_defensiveRating,TOR_estimatedNetRating,TOR_netRating,TOR_assistPercentage,TOR_assistToTurnover,TOR_assistRatio,TOR_offensiveReboundPercentage,TOR_defensiveReboundPercentage,TOR_reboundPercentage,TOR_estimatedTeamTurnoverPercentage,TOR_turnoverRatio,TOR_effectiveFieldGoalPercentage,TOR_trueShootingPercentage,TOR_usagePercentage,TOR_estimatedUsagePercentage,TOR_estimatedPace,TOR_pace,TOR_pacePer40,TOR_possessions,TOR_PIE,OPP_estimatedOffensiveRating,OPP_offensiveRating,OPP_estimatedDefensiveRating,OPP_defensiveRating,OPP_estimatedNetRating,OPP_netRating,OPP_assistPercentage,OPP_assistToTurnover,OPP_assistRatio,OPP_offensiveReboundPercentage,OPP_defensiveReboundPercentage,OPP_reboundPercentage,OPP_estimatedTeamTurnoverPercentage,OPP_turnoverRatio,OPP_effectiveFieldGoalPercentage,OPP_trueShootingPercentage,OPP_usagePercentage,OPP_estimatedUsagePercentage,OPP_estimatedPace,OPP_pace,OPP_pacePer40,OPP_possessions,OPP_PIE
38,92,0.413,11,34,0.324,13,23,0.565,11,20,31,29,10,5,10,18,100,98.9,98.0,121.4,123.5,-22.5,-25.5,0.763,2.9,20.5,0.2,0.55,0.34,9.889,9.8,0.473,0.49,1.0,0.2,102.46,102.0,85.0,102.0,0.369,121.4,123.5,98.9,98.0,22.5,25.5,0.563,1.23,18.5,0.45,0.8,0.66,21.195,21.6,0.625,0.651,1.0,0.197,102.46,102.0,85.0,102.0,0.631
42,83,0.506,10,38,0.263,16,20,0.8,7,31,38,31,7,5,14,18,110,111.3,113.4,114.3,118.4,-3.0,-5.0,0.738,2.21,22.7,0.222,0.674,0.451,14.17,14.4,0.566,0.599,1.0,0.2,100.14,97.5,81.25,97.0,0.489,114.3,118.4,111.3,113.4,3.0,5.0,0.625,2.5,21.4,0.326,0.778,0.549,11.825,12.2,0.56,0.589,1.0,0.196,100.14,97.5,81.25,98.0,0.511
45,88,0.511,20,38,0.526,11,18,0.611,13,32,45,34,9,4,10,14,121,127.5,130.1,99.7,103.2,27.8,26.9,0.756,2.83,24.0,0.364,0.654,0.521,12.642,12.9,0.625,0.631,1.0,0.196,96.1,93.5,77.92,93.0,0.618,99.7,103.2,127.5,130.1,-27.8,-26.9,0.585,1.71,18.0,0.346,0.636,0.479,14.391,14.9,0.489,0.509,1.0,0.199,96.1,93.5,77.92,94.0,0.382
38,95,0.4,4,32,0.125,16,21,0.762,9,43,52,25,6,2,7,21,96,93.9,94.1,104.0,105.0,-10.1,-10.9,0.658,3.57,18.3,0.213,0.902,0.527,6.847,6.9,0.421,0.46,1.0,0.2,101.62,101.0,84.17,102.0,0.456,104.0,105.0,93.9,94.1,10.1,10.9,0.606,1.54,15.9,0.098,0.787,0.473,12.871,13.0,0.5,0.565,1.0,0.196,101.62,101.0,84.17,100.0,0.544
35,81,0.432,17,34,0.5,26,37,0.703,8,23,31,25,5,8,13,21,113,110.5,111.9,138.8,140.8,-28.4,-28.9,0.714,1.92,18.5,0.167,0.545,0.337,12.71,12.9,0.537,0.581,1.0,0.199,103.36,102.0,85.0,101.0,0.349,138.8,140.8,110.5,111.9,28.4,28.9,0.654,2.43,22.3,0.455,0.833,0.663,13.405,13.6,0.672,0.694,1.0,0.199,103.36,102.0,85.0,103.0,0.651
46,84,0.548,12,30,0.4,16,18,0.889,7,30,37,31,4,2,14,17,120,120.1,125.0,133.0,131.3,-12.9,-6.3,0.674,2.07,22.5,0.308,0.727,0.53,15.012,15.6,0.619,0.653,1.0,0.196,97.32,96.0,80.0,96.0,0.473,133.0,131.3,120.1,125.0,12.9,6.3,0.694,4.86,24.3,0.273,0.692,0.47,7.39,7.3,0.608,0.638,1.0,0.201,97.32,96.0,80.0,96.0,0.527
53,94,0.564,17,35,0.486,8,13,0.615,5,32,37,34,8,4,12,26,131,122.8,124.8,123.5,125.7,-0.8,-1.0,0.642,2.83,23.3,0.163,0.805,0.476,11.244,11.4,0.654,0.657,1.0,0.199,106.78,105.0,87.5,105.0,0.483,123.5,125.7,122.8,124.8,0.8,1.0,0.773,2.27,23.3,0.195,0.837,0.524,14.04,14.3,0.642,0.682,1.0,0.198,106.78,105.0,87.5,105.0,0.517
55,94,0.585,15,33,0.455,8,14,0.571,9,36,45,38,7,6,7,14,133,135.5,134.3,115.0,120.4,20.5,13.9,0.691,5.43,26.2,0.262,0.643,0.48,7.131,7.1,0.665,0.664,1.0,0.2,100.38,98.5,82.08,99.0,0.58,115.0,120.4,135.5,134.3,-20.5,-13.9,0.667,2.73,20.3,0.357,0.738,0.52,10.721,11.2,0.52,0.553,1.0,0.197,100.38,98.5,82.08,98.0,0.42
47,87,0.54,13,37,0.351,23,27,0.852,8,29,37,31,5,10,14,20,130,124.0,125.0,122.1,129.8,1.9,-4.8,0.66,2.21,21.5,0.262,0.608,0.452,13.349,13.5,0.615,0.657,1.0,0.198,107.74,104.0,86.67,104.0,0.512,122.1,129.8,124.0,125.0,-1.9,4.8,0.673,2.33,22.3,0.392,0.738,0.548,13.562,14.4,0.625,0.633,1.0,0.197,107.74,104.0,86.67,104.0,0.488
41,85,0.482,12,26,0.462,22,27,0.815,7,39,46,25,5,6,12,20,116,113.9,113.7,107.4,106.7,6.5,7.0,0.61,2.08,18.7,0.174,0.741,0.48,11.779,11.8,0.553,0.599,1.0,0.2,102.62,103.0,85.83,102.0,0.53,107.4,106.7,113.9,113.7,-6.5,-7.0,0.625,2.5,18.2,0.259,0.826,0.52,9.675,9.6,0.505,0.542,1.0,0.201,102.62,103.0,85.83,104.0,0.47
